"id","time","topic","type","indicator","value","frequency","unit"
"BE33","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","max","3.12","monthly","mm"
"BE33","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.96","monthly","mm"
"BE34","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","min","2.64","monthly","mm"
"BE34","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","max","3.52","monthly","mm"
"BE34","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","mean","3.17","monthly","mm"
"BE35","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","min","2.36","monthly","mm"
"BE35","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","max","3.50","monthly","mm"
"BE35","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.94","monthly","mm"
"BE25","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","min","2.96","monthly","mm"
"BE25","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","max","3.87","monthly","mm"
"BE25","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","mean","3.57","monthly","mm"
"BE31","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","min","2.24","monthly","mm"
"BE31","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","max","2.57","monthly","mm"
"BE31","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.41","monthly","mm"
"BE24","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","min","2.16","monthly","mm"
"BE24","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","max","2.62","monthly","mm"
"BE24","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.41","monthly","mm"
"BE32","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","min","2.13","monthly","mm"
"BE32","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","max","3.51","monthly","mm"
"BE32","2015-08-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.52","monthly","mm"
"BE10","2015-09-01","ERA5 Precipitation Monthy 10km","numerical","min","2.47","monthly","mm"
